,DT_MEDICAO,HR_MEDICAO,TEM_INS,UMD_INS,VEN_VEL
0,2020-10-01,0000,26.2,77,0.2
1,2020-10-01,0100,25.7,80,0.1
2,2020-10-01,0200,25.3,84,0.2
3,2020-10-01,0300,24.7,87,0.2
4,2020-10-01,0400,24.5,88,0.4
5,2020-10-01,0500,24.1,90,0.2
6,2020-10-01,0600,23.5,91,0
7,2020-10-01,0700,23.3,92,0
8,2020-10-01,0800,23.1,92,0
9,2020-10-01,0900,22.8,92,0
10,2020-10-01,1000,24.2,92,0.2
11,2020-10-01,1100,27.3,78,0.6
12,2020-10-01,1200,29.1,70,0.4
13,2020-10-01,1300,30.1,67,1
14,2020-10-01,1400,31.4,62,2.3
15,2020-10-01,1500,30.4,66,1.8
16,2020-10-01,1600,32.5,57,1.4
17,2020-10-01,1700,31.2,60,1.5
18,2020-10-01,1800,31.5,61,1.1
19,2020-10-01,1900,29.2,70,1.4
20,2020-10-01,2000,26.7,88,1.7
21,2020-10-01,2100,26.9,84,0.4
22,2020-10-01,2200,27.3,80,0.8
23,2020-10-01,2300,,,
24,2020-10-02,0000,26.7,76,0.3
25,2020-10-02,0100,26.2,79,0.2
26,2020-10-02,0200,25.7,82,0
27,2020-10-02,0300,25.4,85,0.2
28,2020-10-02,0400,25,88,0.2
29,2020-10-02,0500,24.8,89,0
30,2020-10-02,0600,24.7,89,0
31,2020-10-02,0700,24.3,90,0
32,2020-10-02,0800,24,91,0
33,2020-10-02,0900,23.7,92,0
34,2020-10-02,1000,25,91,0
35,2020-10-02,1100,27.6,78,0.8
36,2020-10-02,1200,28.4,72,1.6
37,2020-10-02,1300,28.5,71,1.2
38,2020-10-02,1400,31.4,61,1.6
39,2020-10-02,1500,32.1,58,1.8
40,2020-10-02,1600,32.6,55,2
41,2020-10-02,1700,33.5,57,1.6
42,2020-10-02,1800,32,61,1.2
43,2020-10-02,1900,25.8,91,1.9
44,2020-10-02,2000,25.7,90,1.2
45,2020-10-02,2100,24.6,85,0.3
46,2020-10-02,2200,25.5,86,0.4
47,2020-10-02,2300,26,86,0.9
48,2020-10-03,0000,26.2,84,0.3
49,2020-10-03,0100,26.2,83,0
50,2020-10-03,0200,26.2,83,0.6
51,2020-10-03,0300,25.7,85,0.5
52,2020-10-03,0400,25.3,88,0
53,2020-10-03,0500,24.9,90,0
54,2020-10-03,0600,24.4,91,0
55,2020-10-03,0700,24.6,92,0
56,2020-10-03,0800,24.4,92,0
57,2020-10-03,0900,24.2,92,0
58,2020-10-03,1000,25.2,92,0
59,2020-10-03,1100,27.8,81,1.2
60,2020-10-03,1200,28.7,74,1.4
61,2020-10-03,1300,28.9,73,1
62,2020-10-03,1400,31.2,67,0.7
63,2020-10-03,1500,31.2,65,0.9
64,2020-10-03,1600,31.4,60,0.1
65,2020-10-03,1700,32.1,64,1.7
66,2020-10-03,1800,33,60,1.5
67,2020-10-03,1900,29,82,0.2
68,2020-10-03,2000,29.5,74,1
69,2020-10-03,2100,27.9,81,0.8
70,2020-10-03,2200,25.4,78,4.3
71,2020-10-03,2300,23.4,92,0.3
72,2020-10-04,0000,23.7,90,1.9
73,2020-10-04,0100,23.2,91,0.1
74,2020-10-04,0200,23.7,90,0.1
75,2020-10-04,0300,23.5,92,0
76,2020-10-04,0400,23.4,92,0
77,2020-10-04,0500,23.6,93,0
78,2020-10-04,0600,23.4,93,0
79,2020-10-04,0700,23.8,93,0
80,2020-10-04,0800,23.4,93,0
81,2020-10-04,0900,23.4,93,0
82,2020-10-04,1000,24.3,93,0
83,2020-10-04,1100,27.3,81,0.1
84,2020-10-04,1200,29.3,71,0.8
85,2020-10-04,1300,30.3,65,2
86,2020-10-04,1400,31.3,64,1.9
87,2020-10-04,1500,31.8,58,1.4
88,2020-10-04,1600,32.3,58,2.4
89,2020-10-04,1700,33.2,57,0.8
90,2020-10-04,1800,33.1,55,1.1
91,2020-10-04,1900,30.5,62,1.8
92,2020-10-04,2000,31.3,66,2
93,2020-10-04,2100,24.7,89,0
94,2020-10-04,2200,26.3,90,0.4
95,2020-10-04,2300,26,87,0.6
96,2020-10-05,0000,25.9,83,0.1
97,2020-10-05,0100,25.8,81,0.1
98,2020-10-05,0200,25.2,85,0.1
99,2020-10-05,0300,24.6,87,0.1
100,2020-10-05,0400,24,90,0
101,2020-10-05,0500,23.6,91,0
102,2020-10-05,0600,23.5,92,0
103,2020-10-05,0700,23.8,92,0
104,2020-10-05,0800,23.4,92,0
105,2020-10-05,0900,23.3,93,0
106,2020-10-05,1000,24.1,93,0
107,2020-10-05,1100,27.3,82,0.1
108,2020-10-05,1200,29,76,0.4
109,2020-10-05,1300,29.7,68,0.9
110,2020-10-05,1400,31.1,63,0.5
111,2020-10-05,1500,32,58,1.4
112,2020-10-05,1600,30.9,62,2.7
113,2020-10-05,1700,28.1,86,0.8
114,2020-10-05,1800,26.1,85,0.5
115,2020-10-05,1900,26.5,84,0.5
116,2020-10-05,2000,23.8,94,0
117,2020-10-05,2100,23.9,94,1.8
118,2020-10-05,2200,24,94,0
119,2020-10-05,2300,24.4,94,0
120,2020-10-06,0000,24.5,93,0
121,2020-10-06,0100,24.5,93,0
122,2020-10-06,0200,24.1,93,0
123,2020-10-06,0300,23.9,94,0
124,2020-10-06,0400,23.9,94,0
125,2020-10-06,0500,23.9,94,0
126,2020-10-06,0600,23.6,94,0
127,2020-10-06,0700,23.5,94,0
128,2020-10-06,0800,23.3,94,0
129,2020-10-06,0900,23.4,94,0
130,2020-10-06,1000,24.4,94,0.1
131,2020-10-06,1100,27.2,87,0.7
132,2020-10-06,1200,28.3,77,0.6
133,2020-10-06,1300,30.3,68,1.4
134,2020-10-06,1400,30.6,63,0.8
135,2020-10-06,1500,31.6,59,2.2
136,2020-10-06,1600,30.1,65,0.6
137,2020-10-06,1700,28.2,69,1.2
138,2020-10-06,1800,29.4,68,1.2
139,2020-10-06,1900,28.1,79,0.6
140,2020-10-06,2000,24.5,88,3.9
141,2020-10-06,2100,23.3,93,0
142,2020-10-06,2200,23.9,93,0
143,2020-10-06,2300,24.2,93,0
144,2020-10-07,0000,24,93,0
145,2020-10-07,0100,24.1,93,0
146,2020-10-07,0200,23.8,93,0
147,2020-10-07,0300,23.6,92,0
148,2020-10-07,0400,23.6,93,0
149,2020-10-07,0500,23.2,93,0
150,2020-10-07,0600,22.9,93,0
151,2020-10-07,0700,22.7,94,0
152,2020-10-07,0800,22.8,94,0
153,2020-10-07,0900,22.7,94,0
154,2020-10-07,1000,23.8,94,0.4
155,2020-10-07,1100,26.8,84,0.6
156,2020-10-07,1200,29,73,0.5
157,2020-10-07,1300,30.9,64,1.7
158,2020-10-07,1400,31.6,59,1.7
159,2020-10-07,1500,31.6,56,0.9
160,2020-10-07,1600,32,51,2.6
161,2020-10-07,1700,33.3,53,2
162,2020-10-07,1800,32.1,62,2
163,2020-10-07,1900,32.1,63,1.5
164,2020-10-07,2000,30.8,65,1.4
165,2020-10-07,2100,29.3,70,1
166,2020-10-07,2200,28.1,73,0.9
167,2020-10-07,2300,27.5,73,0.9
168,2020-10-08,0000,26.8,75,0.5
169,2020-10-08,0100,26.3,77,0.1
170,2020-10-08,0200,25.7,79,0.1
171,2020-10-08,0300,25.1,83,0.4
172,2020-10-08,0400,24.6,86,0
173,2020-10-08,0500,24.2,87,0
174,2020-10-08,0600,24.2,88,0
175,2020-10-08,0700,24.1,88,0
176,2020-10-08,0800,24.1,89,0.1
177,2020-10-08,0900,23.9,90,0
178,2020-10-08,1000,25.1,88,0.1
179,2020-10-08,1100,27.5,75,0.7
180,2020-10-08,1200,28.9,73,1
181,2020-10-08,1300,29.8,68,0.7
182,2020-10-08,1400,31.1,56,1.3
183,2020-10-08,1500,32.8,52,1
184,2020-10-08,1600,32.1,56,1
185,2020-10-08,1700,33.4,59,2
186,2020-10-08,1800,32.1,58,1.8
187,2020-10-08,1900,32.2,59,1.8
188,2020-10-08,2000,30.5,65,1
189,2020-10-08,2100,29.3,67,1.2
190,2020-10-08,2200,28.3,69,0.7
191,2020-10-08,2300,27.7,70,1
192,2020-10-09,0000,26.9,74,0.3
193,2020-10-09,0100,26.3,77,0.5
194,2020-10-09,0200,25.6,81,0.1
195,2020-10-09,0300,25.4,83,0.1
196,2020-10-09,0400,24.8,85,0
197,2020-10-09,0500,24.5,87,0.1
198,2020-10-09,0600,23.8,90,0
199,2020-10-09,0700,23.5,92,0
200,2020-10-09,0800,23.2,92,0
201,2020-10-09,0900,23.1,93,0
202,2020-10-09,1000,24.6,91,0.1
203,2020-10-09,1100,27.1,77,0.6
204,2020-10-09,1200,28.6,70,0.6
205,2020-10-09,1300,29.7,66,0.9
206,2020-10-09,1400,31.8,57,1
207,2020-10-09,1500,33.5,48,1.5
208,2020-10-09,1600,32.2,60,0.8
209,2020-10-09,1700,32.9,59,1.7
210,2020-10-09,1800,31.7,62,2
211,2020-10-09,1900,31.5,62,2.2
212,2020-10-09,2000,31.2,61,1.7
213,2020-10-09,2100,29.6,64,1.7
214,2020-10-09,2200,28.8,68,1
215,2020-10-09,2300,28,67,0.2
216,2020-10-10,0000,27.2,70,0.5
217,2020-10-10,0100,26.5,75,0.3
218,2020-10-10,0200,26,78,0.3
219,2020-10-10,0300,25.5,80,0.1
220,2020-10-10,0400,25.1,83,0
221,2020-10-10,0500,24.8,84,0
222,2020-10-10,0600,23.9,89,0
223,2020-10-10,0700,23.5,91,0
224,2020-10-10,0800,23.3,92,0
225,2020-10-10,0900,23.1,92,0
226,2020-10-10,1000,24.7,90,0.1
227,2020-10-10,1100,27.3,73,0.4
228,2020-10-10,1200,29.3,67,0.7
229,2020-10-10,1300,31.1,59,1.3
230,2020-10-10,1400,32.2,52,1.1
231,2020-10-10,1500,32,48,1
232,2020-10-10,1600,33,46,0.8
233,2020-10-10,1700,33.2,57,2.4
234,2020-10-10,1800,31.9,57,2.1
235,2020-10-10,1900,32.5,56,1.7
236,2020-10-10,2000,30.6,60,1.8
237,2020-10-10,2100,29.1,67,1.5
238,2020-10-10,2200,27.1,65,0.1
239,2020-10-10,2300,27.5,72,0.5
240,2020-10-11,0000,26.9,76,0.8
241,2020-10-11,0100,26.7,78,0.6
242,2020-10-11,0200,26.4,79,0.3
243,2020-10-11,0300,26.2,81,0.9
244,2020-10-11,0400,26,82,0.1
245,2020-10-11,0500,25.6,84,0.1
246,2020-10-11,0600,25.2,86,0.1
247,2020-10-11,0700,25.1,86,0.1
248,2020-10-11,0800,24.5,88,0
249,2020-10-11,0900,24.3,89,0
250,2020-10-11,1000,25.7,86,0.1
251,2020-10-11,1100,28.2,73,0.2
252,2020-10-11,1200,29.9,66,0.7
253,2020-10-11,1300,31.6,56,0.6
254,2020-10-11,1400,32.1,54,0.8
255,2020-10-11,1500,32.1,54,0.3
256,2020-10-11,1600,32.9,58,1.4
257,2020-10-11,1700,31,62,1.4
258,2020-10-11,1800,30.7,65,1.6
259,2020-10-11,1900,25.7,87,1.2
